,station_train_code,train_no,class,on,off
8192,K8175(安康-西安),43000K81780I,K,安康,西安
8193,K8176(西安-安康),41000K81760H,K,西安,安康
8194,K8177(西安-安康),41000K81760H,K,西安,安康
8195,K8178(安康-西安),43000K81780I,K,安康,西安
8196,K8181(榆林-西安),4a000K81810H,K,榆林,西安
8197,K8182(西安-榆林),41000K81820G,K,西安,榆林
8198,K8185(安康-西安),43000K818810,K,安康,西安
8199,K8186(西安-安康),41000K818650,K,西安,安康
8200,K8187(西安-安康),41000K818650,K,西安,安康
8201,K8188(安康-西安),43000K818810,K,安康,西安
8202,K8197(神木-西安),4a000K819740,K,神木,西安
8203,K8198(西安-神木),41000K819840,K,西安,神木
8204,K8202(神木-安康),4a000K820310,K,神木,安康
8205,K8203(神木-安康),4a000K820310,K,神木,安康
8206,K8204(安康-神木),43000K820410,K,安康,神木
8207,K8215(万源-西安),43000K821805,K,万源,西安
8208,K8216(西安-万源),41000K821601,K,西安,万源
8209,K8217(西安-万源),41000K821601,K,西安,万源
8210,K8218(万源-西安),43000K821805,K,万源,西安
8211,K8219(安康-万源),43000K821902,K,安康,万源
8212,K8220(万源-安康),43000K822002,K,万源,安康
8213,K8221(安康-汉中),43000K822106,K,安康,汉中
8214,K8222(汉中-安康),43000K822206,K,汉中,安康
8215,K8223(安康-汉中),43000K822304,K,安康,汉中
8216,K8231(商南-西安),41000K823110,K,商南,西安
8217,K8232(西安-商南),41000K823200,K,西安,商南
8218,K8241(韩城-西安),41000K824108,K,韩城,西安
8219,K8242(西安-韩城),41000K824208,K,西安,韩城
8220,K8261(济南-威海),47000K826100,K,济南,威海
8221,K8262(威海-济南),49000K82620D,K,威海,济南
8222,K8271(济南-菏泽),47000K827100,K,济南,菏泽
8223,K8272(菏泽-济南),47000K827210,K,菏泽,济南
8224,K8281(济南-日照),47000K82810H,K,济南,日照
8225,K8282(日照-济南),47000K82820K,K,日照,济南
8226,K8283(济南-日照),47000K828301,K,济南,日照
8227,K8284(日照-济南),47000K828420,K,日照,济南
8228,K8285(济南-日照),47000K828509,K,济南,日照
8229,K8286(日照-济南),47000K828608,K,日照,济南
8230,K8287(济南-日照),47000K828704,K,济南,日照
